created_date,last_edited_date,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,last_edited_user
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593699,70061,70061,Alewife,Alewife - Red Line,,Red Line,42.395428,-71.142483,RapidTransit,,https://www.mbta.com/stops/place-alfcl,level_-2_platform,0,place-alfcl,1,Cambridge,,,1,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593700,Alewife-01,,Alewife,Alewife - Red Line - Track 1,1,Red Line - Track 1,42.395428,-71.142483,RapidTransit,,https://www.mbta.com/stops/place-alfcl,level_-2_platform,0,place-alfcl,1,Cambridge,,,1,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593701,Alewife-02,,Alewife,Alewife - Red Line - Track 2,2,Red Line - Track 2,42.395428,-71.142483,RapidTransit,,https://www.mbta.com/stops/place-alfcl,level_-2_platform,0,place-alfcl,1,Cambridge,,,1,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593702,door-alfcl-alewife,,Alewife - Alewife Path,Alewife - Alewife Path,,,42.395862,-71.140929,,,,level_ground,2,place-alfcl,1,Cambridge,,,,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593703,door-alfcl-busway,,"Alewife - Garage, Buses","Alewife - Garage, Buses",,,42.395672,-71.141631,,,,level_ground,2,place-alfcl,1,Cambridge,,,,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593704,door-alfcl-cambridgepark,,"Alewife - Cambridgepark Dr, Alewife Brook Pkwy","Alewife - Cambridgepark Dr, Alewife Brook Pkwy",,,42.394893,-71.141516,,,,level_in_street,2,place-alfcl,1,Cambridge,,,,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593705,door-alfcl-russell,,Alewife - Russell Field,Alewife - Russell Field,,,42.39606,-71.139575,,,,level_ground,2,place-alfcl,1,Cambridge,,,,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593706,door-alfcl-steel,,"Alewife - Steel Place, Alewife Brook Reserve","Alewife - Steel Place, Alewife Brook Reserve",,,42.395578,-71.142469,,,,level_in_street,2,place-alfcl,1,Cambridge,,,,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593708,70126,70126,Allston Street,Allston Street - Green Line - Park Street & North,,Park Street & North,42.348649,-71.137881,RapidTransit,,https://www.mbta.com/stops/place-alsgr,level_median,0,place-alsgr,2,Boston,,,0,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593709,70127,70127,Allston Street,Allston Street - Green Line - (B) Boston College,,Boston College,42.348546,-71.137362,RapidTransit,,https://www.mbta.com/stops/place-alsgr,level_median,0,place-alsgr,2,Boston,,,0,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593712,70083,70083,Andrew,Andrew - Red Line - Ashmont/Braintree,1,Ashmont/Braintree,42.330154,-71.057655,RapidTransit,,https://www.mbta.com/stops/place-andrw,level_-2_platform,0,place-andrw,1,Boston,,,1,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593713,70084,70084,Andrew,Andrew - Red Line - Alewife,2,Alewife,42.330154,-71.057655,RapidTransit,,https://www.mbta.com/stops/place-andrw,level_-2_platform,0,place-andrw,1,Boston,,,1,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593714,door-andrw-busway,,Andrew - Buses,Andrew - Buses,,,42.330164,-71.057605,,,,level_ground,2,place-andrw,2,Boston,,,,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593715,door-andrw-dotave,,"Andrew - Street, Buses","Andrew - Street, Buses",,,42.330017,-71.057309,,,,level_ground,2,place-andrw,2,Boston,,,,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593716,door-andrw-elevator,,Andrew - Elevator,Andrew - Elevator,,,42.330017,-71.057684,,,,level_ground,2,place-andrw,1,Boston,,,,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593717,door-andrw-exitonly,,Andrew - Southampton St,Andrew - Southampton St,,,42.330004,-71.057863,,,,level_ground,2,place-andrw,2,Boston,,,,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593719,70047,70047,Airport,Airport - Blue Line - Bowdoin,,Bowdoin,42.374262,-71.030395,RapidTransit,,https://www.mbta.com/stops/place-aport,level_0_platform,0,place-aport,1,Boston,,,1,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593720,70048,70048,Airport,Airport - Blue Line - Wonderland,,Wonderland,42.374262,-71.030395,RapidTransit,,https://www.mbta.com/stops/place-aport,level_0_platform,0,place-aport,1,Boston,,,1,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593723,door-aport-bremen,,Airport - Bremen St,Airport - Bremen St,,,42.374553,-71.030306,,,,level_ground,2,place-aport,1,Boston,,,,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593724,door-aport-buses,,"Airport - Buses, Airport","Airport - Buses, Airport",,,42.373984,-71.030031,,,,level_ground,2,place-aport,1,Boston,,,,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593726,70043,70043,Aquarium,Aquarium - Blue Line - Bowdoin,1,Bowdoin,42.359784,-71.051652,RapidTransit,,https://www.mbta.com/stops/place-aqucl,level_-2_platform,0,place-aqucl,1,Boston,,,1,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593727,70044,70044,Aquarium,Aquarium - Blue Line - Wonderland,2,Wonderland,42.359784,-71.051652,RapidTransit,,https://www.mbta.com/stops/place-aqucl,level_-2_platform,0,place-aqucl,1,Boston,,,1,,,,,,,,,DOT_ADMIN,DOT_ADMIN
2020/05/10 10:32:41+00,2020/05/10 10:32:41+00,593728,door-aqucl-atlantic,,Aquarium - Waterfront and New England Aquarium,Aquarium - Waterfront and New England Aquarium,,,42.359791,-71.051631,,,,level_in_street,2,place-aqucl,2,Boston,,,,,,,,,,,,DOT_ADMIN,DOT_ADMIN
