X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-71.1424830006026,42.3954279998397,644769,70061,70061,Alewife,Alewife - Red Line,,Red Line,42.395428,-71.142483,RapidTransit,,https://www.mbta.com/stops/place-alfcl,level_-2_platform,0,place-alfcl,1,Cambridge,,,1,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.1424830006026,42.3954279998397,644770,Alewife-01,,Alewife,Alewife - Red Line - Track 1,1,Red Line - Track 1,42.395428,-71.142483,RapidTransit,,https://www.mbta.com/stops/place-alfcl,level_-2_platform,0,place-alfcl,1,Cambridge,,,1,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.1424830006026,42.3954279998397,644771,Alewife-02,,Alewife,Alewife - Red Line - Track 2,2,Red Line - Track 2,42.395428,-71.142483,RapidTransit,,https://www.mbta.com/stops/place-alfcl,level_-2_platform,0,place-alfcl,1,Cambridge,,,1,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.1409289995287,42.3958619996706,644772,door-alfcl-alewife,,Alewife - Alewife Path,Alewife - Alewife Path,,,42.395862,-71.140929,,,,level_ground,2,place-alfcl,1,Cambridge,,,,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.1416310000447,42.3956720000237,644773,door-alfcl-busway,,"Alewife - Garage, Buses","Alewife - Garage, Buses",,,42.395672,-71.141631,,,,level_ground,2,place-alfcl,1,Cambridge,,,,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.1415159998346,42.3948930003353,644774,door-alfcl-cambridgepark,,"Alewife - Cambridgepark Dr, Alewife Brook Pkwy","Alewife - Cambridgepark Dr, Alewife Brook Pkwy",,,42.394893,-71.141516,,,,level_in_street,2,place-alfcl,1,Cambridge,,,,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.1395749996596,42.3960600000996,644775,door-alfcl-russell,,Alewife - Russell Field,Alewife - Russell Field,,,42.39606,-71.139575,,,,level_ground,2,place-alfcl,1,Cambridge,,,,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.1424689996064,42.3955780004425,644776,door-alfcl-steel,,"Alewife - Steel Place, Alewife Brook Reserve","Alewife - Steel Place, Alewife Brook Reserve",,,42.395578,-71.142469,,,,level_in_street,2,place-alfcl,1,Cambridge,,,,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.1378809996054,42.3486489995896,644778,70126,70126,Allston Street,Allston Street - Green Line - Park Street & North,,Park Street & North,42.348649,-71.137881,RapidTransit,,https://www.mbta.com/stops/place-alsgr,level_median,0,place-alsgr,2,Boston,,,0,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.1373619995723,42.3485459995765,644779,70127,70127,Allston Street,Allston Street - Green Line - (B) Boston College,,Boston College,42.348546,-71.137362,RapidTransit,,https://www.mbta.com/stops/place-alsgr,level_median,0,place-alsgr,2,Boston,,,0,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.0576550004451,42.3301540004541,644782,70083,70083,Andrew,Andrew - Red Line - Ashmont/Braintree,1,Ashmont/Braintree,42.330154,-71.057655,RapidTransit,,https://www.mbta.com/stops/place-andrw,level_-2_platform,0,place-andrw,1,Boston,,,1,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.0576550004451,42.3301540004541,644783,70084,70084,Andrew,Andrew - Red Line - Alewife,2,Alewife,42.330154,-71.057655,RapidTransit,,https://www.mbta.com/stops/place-andrw,level_-2_platform,0,place-andrw,1,Boston,,,1,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.0576050004817,42.3301640002983,644784,door-andrw-busway,,Andrew - Buses,Andrew - Buses,,,42.330164,-71.057605,,,,level_ground,2,place-andrw,2,Boston,,,,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.0573089999177,42.3300170001449,644785,door-andrw-dotave,,"Andrew - Street, Buses","Andrew - Street, Buses",,,42.330017,-71.057309,,,,level_ground,2,place-andrw,2,Boston,,,,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.0576840005765,42.3300169995988,644786,door-andrw-elevator,,Andrew - Elevator,Andrew - Elevator,,,42.330017,-71.057684,,,,level_ground,2,place-andrw,1,Boston,,,,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.057863000088,42.3300040001021,644787,door-andrw-exitonly,,Andrew - Southampton St,Andrew - Southampton St,,,42.330004,-71.057863,,,,level_ground,2,place-andrw,2,Boston,,,,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.0303949995171,42.3742619996415,644789,70047,70047,Airport,Airport - Blue Line - Bowdoin,,Bowdoin,42.374262,-71.030395,RapidTransit,,https://www.mbta.com/stops/place-aport,level_0_platform,0,place-aport,1,Boston,,,1,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.0303949995171,42.3742619996415,644790,70048,70048,Airport,Airport - Blue Line - Wonderland,,Wonderland,42.374262,-71.030395,RapidTransit,,https://www.mbta.com/stops/place-aport,level_0_platform,0,place-aport,1,Boston,,,1,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.0303059997834,42.3745529995633,644794,door-aport-bremen,,Airport - Bremen St,Airport - Bremen St,,,42.374553,-71.030306,,,,level_ground,2,place-aport,1,Boston,,,,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.0300310003565,42.3739840000899,644795,door-aport-buses,,"Airport - Buses, Airport","Airport - Buses, Airport",,,42.373984,-71.030031,,,,level_ground,2,place-aport,1,Boston,,,,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.0516520001934,42.3597839997986,644797,70043,70043,Aquarium,Aquarium - Blue Line - Bowdoin,1,Bowdoin,42.359784,-71.051652,RapidTransit,,https://www.mbta.com/stops/place-aqucl,level_-2_platform,0,place-aqucl,1,Boston,,,1,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.0516520001934,42.3597839997986,644798,70044,70044,Aquarium,Aquarium - Blue Line - Wonderland,2,Wonderland,42.359784,-71.051652,RapidTransit,,https://www.mbta.com/stops/place-aqucl,level_-2_platform,0,place-aqucl,1,Boston,,,1,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.0516309997668,42.3597909996172,644799,door-aqucl-atlantic,,Aquarium - Waterfront and New England Aquarium,Aquarium - Waterfront and New England Aquarium,,,42.359791,-71.051631,,,,level_in_street,2,place-aqucl,2,Boston,,,,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.0512429998882,42.3598610000267,644800,door-aqucl-atlanticelev,,Aquarium - Waterfront and New England Aquarium,Aquarium - Waterfront and New England Aquarium,,,42.359861,-71.051243,,,,level_in_street,2,place-aqucl,1,Boston,,,,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.0531830005077,42.3595339999526,644801,door-aqucl-mcknorth,,Aquarium - State St (North),Aquarium - State St (North),,,42.359534,-71.053183,,,,level_in_street,2,place-aqucl,2,Boston,,,,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
-71.0530389996719,42.3593310000941,644802,door-aqucl-mcksouth,,Aquarium - State St (South),Aquarium - State St (South),,,42.359331,-71.053039,,,,level_in_street,2,place-aqucl,1,Boston,,,,,,,,,,,,DOT_ADMIN,2020/05/21 10:32:42+00,DOT_ADMIN,2020/05/21 10:32:42+00
